Game Date,Game ID,Game Time,Arena,Arena City,Home Team Abbreviation,Home Conference,Home Division,Visiting Team Abbreviation,Visiting Conference,Visiting Division,Divisional Game,Conference Game,Home Team ID,Visiting Team ID
2024-11-17,22400240,7:00 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,BKN,East,Atlantic,Yes,Yes,1610612752,1610612751
2024-11-17,22400243,9:00 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,UTA,West,Northwest,No,Yes,1610612746,1610612762
2024-11-17,22400241,7:00 pm ET,United Center,Chicago,CHI,East,Central,HOU,West,Southwest,No,No,1610612741,1610612745
2024-11-17,22400242,7:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,DAL,West,Southwest,No,Yes,1610612760,1610612742
2024-11-17,22400237,6:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,DET,East,Central,No,Yes,1610612764,1610612765
2024-11-17,22400238,6:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,DEN,West,Northwest,No,Yes,1610612763,1610612743
2024-11-17,22400234,3:30 pm ET,Target Center,Minneapolis,MIN,West,Northwest,PHX,West,Pacific,No,Yes,1610612750,1610612756
2024-11-17,22400239,6:00 pm ET,Moda Center,Portland,POR,West,Northwest,ATL,East,Southeast,No,No,1610612757,1610612737
2024-11-17,22400235,5:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,MIA,East,Southeast,No,Yes,1610612754,1610612748
2024-11-17,22400236,6:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,CHA,East,Southeast,No,Yes,1610612739,1610612766
2024-11-18,22400244,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,CHI,East,Central,Yes,Yes,1610612765,1610612741
2024-11-18,22400245,7:30 pm ET,Kaseya Center,Miami,MIA,East,Southeast,PHI,East,Atlantic,No,Yes,1610612748,1610612755
2024-11-18,22400246,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,WAS,East,Southeast,No,Yes,1610612752,1610612764
2024-11-18,22400247,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,IND,East,Central,No,Yes,1610612761,1610612754
2024-11-18,22400248,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,HOU,West,Southwest,No,No,1610612749,1610612745
2024-11-18,22400249,9:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,ORL,East,Southeast,No,No,1610612756,1610612753
2024-11-18,22400250,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,ATL,East,Southeast,No,No,1610612758,1610612737
2024-11-18,22400251,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,GSW,West,Pacific,Yes,Yes,1610612746,1610612744
2024-11-19,22400026,10:30 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,UTA,West,Northwest,No,Yes,1610612747,1610612762
2024-11-19,22400025,9:30 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,OKC,West,Northwest,No,Yes,1610612759,1610612760
2024-11-19,22400022,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,CHA,East,Southeast,No,Yes,1610612751,1610612766
2024-11-19,22400021,7:00 pm ET,TD Garden,Boston,BOS,East,Atlantic,CLE,East,Central,No,Yes,1610612738,1610612739
2024-11-19,22400024,8:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,NOP,West,Southwest,Yes,Yes,1610612742,1610612740
2024-11-19,22400023,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,DEN,West,Northwest,No,Yes,1610612763,1610612743
2024-11-20,22400252,7:30 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,NOP,West,Southwest,No,No,1610612739,1610612740
2024-11-20,22400253,7:30 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,CHI,East,Central,Yes,Yes,1610612749,1610612741
2024-11-20,22400254,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,IND,East,Central,No,No,1610612745,1610612754
2024-11-20,22400255,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,PHI,East,Atlantic,No,No,1610612763,1610612755
2024-11-20,22400256,8:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,POR,West,Northwest,Yes,Yes,1610612760,1610612757
2024-11-20,22400257,10:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,NYK,East,Atlantic,No,No,1610612756,1610612752
2024-11-20,22400258,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,ATL,East,Southeast,No,No,1610612744,1610612737
2024-11-20,22400259,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,ORL,East,Southeast,No,No,1610612746,1610612753
2024-11-21,22400260,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,DET,East,Central,No,Yes,1610612766,1610612765
2024-11-21,22400261,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,MIN,West,Northwest,No,No,1610612761,1610612750
2024-11-21,22400263,10:30 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,ORL,East,Southeast,No,No,1610612747,1610612753
2024-11-21,22400262,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,UTA,West,Northwest,No,Yes,1610612759,1610612762
2024-11-22,22400034,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,SAC,West,Pacific,Yes,Yes,1610612746,1610612758
2024-11-22,22400033,10:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,DAL,West,Southwest,No,Yes,1610612743,1610612742
2024-11-22,22400032,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,GSW,West,Pacific,No,Yes,1610612740,1610612744
2024-11-22,22400027,7:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,BKN,East,Atlantic,Yes,Yes,1610612755,1610612751
2024-11-22,22400030,8:00 pm ET,United Center,Chicago,CHI,East,Central,ATL,East,Southeast,No,Yes,1610612741,1610612737
2024-11-22,22400028,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,BOS,East,Atlantic,No,Yes,1610612764,1610612738
2024-11-22,22400031,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,POR,West,Northwest,No,Yes,1610612745,1610612757
2024-11-22,22400029,7:30 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,IND,East,Central,Yes,Yes,1610612749,1610612754
2024-11-23,22400265,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,DET,East,Central,No,Yes,1610612753,1610612765
2024-11-23,22400270,10:30 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,DEN,West,Northwest,No,Yes,1610612747,1610612743
2024-11-23,22400269,8:30 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,GSW,West,Pacific,No,Yes,1610612759,1610612744
2024-11-23,22400264,5:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,NYK,East,Atlantic,No,No,1610612762,1610612752
2024-11-23,22400267,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,POR,West,Northwest,No,Yes,1610612745,1610612757
2024-11-23,22400268,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,CHA,East,Southeast,No,Yes,1610612749,1610612766
2024-11-23,22400266,8:00 pm ET,United Center,Chicago,CHI,East,Central,MEM,West,Southwest,No,No,1610612741,1610612763
2024-11-24,22400271,3:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,MIN,West,Northwest,No,No,1610612738,1610612750
2024-11-24,22400272,5:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,WAS,East,Southeast,No,Yes,1610612754,1610612764
2024-11-24,22400273,6:00 pm ET,Kaseya Center,Miami,MIA,East,Southeast,DAL,West,Southwest,No,No,1610612748,1610612742
2024-11-24,22400274,6:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,LAC,West,Pacific,No,No,1610612755,1610612746
2024-11-24,22400275,7:30 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,TOR,East,Atlantic,No,Yes,1610612739,1610612761
2024-11-24,22400276,9:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,BKN,East,Atlantic,No,No,1610612758,1610612751
2024-11-25,22400285,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,OKC,West,Northwest,No,Yes,1610612758,1610612760
2024-11-25,22400283,9:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,NYK,East,Atlantic,No,No,1610612743,1610612752
2024-11-25,22400282,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,POR,West,Northwest,No,Yes,1610612763,1610612757
2024-11-25,22400284,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,BKN,East,Atlantic,No,No,1610612744,1610612751
2024-11-25,22400280,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,DAL,West,Southwest,No,No,1610612737,1610612742
2024-11-25,22400279,7:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,NOP,West,Southwest,No,No,1610612754,1610612740
2024-11-25,22400278,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,TOR,East,Atlantic,No,Yes,1610612765,1610612761
2024-11-25,22400277,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,ORL,East,Southeast,Yes,Yes,1610612766,1610612753
2024-11-25,22400281,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,LAC,West,Pacific,No,No,1610612738,1610612746
2024-11-26,22400035,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,CHI,East,Central,No,Yes,1610612764,1610612741
2024-11-26,22400036,7:30 pm ET,Kaseya Center,Miami,MIA,East,Southeast,MIL,East,Central,No,Yes,1610612748,1610612749
2024-11-26,22400037,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,HOU,West,Southwest,No,Yes,1610612750,1610612745
2024-11-26,22400038,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,SAS,West,Southwest,No,Yes,1610612762,1610612759
2024-11-26,22400039,10:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,LAL,West,Pacific,Yes,Yes,1610612756,1610612747
2024-11-27,22400295,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,TOR,East,Atlantic,No,No,1610612740,1610612761
2024-11-27,22400299,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,OKC,West,Northwest,No,Yes,1610612744,1610612760
2024-11-27,22400298,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,DEN,West,Northwest,Yes,Yes,1610612762,1610612743
2024-11-27,22400297,9:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,BKN,East,Atlantic,No,No,1610612756,1610612751
2024-11-27,22400296,8:30 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,LAL,West,Pacific,No,Yes,1610612759,1610612747
2024-11-27,22400294,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,SAC,West,Pacific,No,Yes,1610612750,1610612758
2024-11-27,22400288,7:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,POR,West,Northwest,No,No,1610612754,1610612757
2024-11-27,22400292,7:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,NYK,East,Atlantic,No,No,1610612742,1610612752
2024-11-27,22400293,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,DET,East,Central,No,No,1610612763,1610612765
2024-11-27,22400287,7:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,ATL,East,Southeast,No,Yes,1610612739,1610612737
2024-11-27,22400286,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,MIA,East,Southeast,Yes,Yes,1610612766,1610612748
2024-11-27,22400290,7:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,HOU,West,Southwest,No,No,1610612755,1610612745
2024-11-27,22400291,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,LAC,West,Pacific,No,No,1610612764,1610612746
2024-11-27,22400289,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,CHI,East,Central,No,Yes,1610612753,1610612741
2024-11-29,22400040,12:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,NYK,East,Atlantic,No,Yes,1610612766,1610612752
2024-11-29,22400041,2:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,CLE,East,Central,No,Yes,1610612737,1610612739
2024-11-29,22400042,5:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,NOP,West,Southwest,Yes,Yes,1610612763,1610612740
2024-11-29,22400044,7:30 pm ET,Target Center,Minneapolis,MIN,West,Northwest,LAC,West,Pacific,No,Yes,1610612750,1610612746
2024-11-29,22400045,8:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,DET,East,Central,Yes,Yes,1610612754,1610612765
2024-11-29,22400046,8:00 pm ET,Kaseya Center,Miami,MIA,East,Southeast,TOR,East,Atlantic,No,Yes,1610612748,1610612761
2024-11-29,22400047,8:00 pm ET,United Center,Chicago,CHI,East,Central,BOS,East,Atlantic,No,Yes,1610612741,1610612738
2024-11-29,22400048,10:00 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,OKC,West,Northwest,No,Yes,1610612747,1610612760
2024-11-29,22400049,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,SAC,West,Pacific,No,Yes,1610612757,1610612758
2024-11-29,22400043,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,ORL,East,Southeast,No,Yes,1610612751,1610612753
2024-11-30,22400304,9:30 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,DAL,West,Southwest,No,Yes,1610612762,1610612742
2024-11-30,22400302,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,WAS,East,Southeast,No,Yes,1610612749,1610612764
2024-11-30,22400301,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,PHI,East,Atlantic,No,Yes,1610612765,1610612755
2024-11-30,22400303,9:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,GSW,West,Pacific,Yes,Yes,1610612756,1610612744
2024-11-30,22400300,6:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,ATL,East,Southeast,Yes,Yes,1610612766,1610612737
2024-12-01,22400307,6:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,BOS,East,Atlantic,No,Yes,1610612739,1610612738
2024-12-01,22400308,6:00 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,NOP,West,Southwest,No,No,1610612752,1610612740
2024-12-01,22400309,6:00 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,MIA,East,Southeast,No,Yes,1610612761,1610612748
2024-12-01,22400310,7:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,OKC,West,Northwest,No,Yes,1610612745,1610612760
2024-12-01,22400311,8:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,LAL,West,Pacific,No,Yes,1610612762,1610612747
2024-12-01,22400312,9:00 pm ET,Moda Center,Portland,POR,West,Northwest,DAL,West,Southwest,No,Yes,1610612757,1610612742
2024-12-01,22400313,9:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,SAS,West,Southwest,No,Yes,1610612758,1610612759
2024-12-01,22400314,10:00 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,DEN,West,Northwest,No,Yes,1610612746,1610612743
2024-12-01,22400305,3:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,ORL,East,Southeast,No,Yes,1610612751,1610612753
2024-12-01,22400306,3:30 pm ET,FedExForum,Memphis,MEM,West,Southwest,IND,East,Central,No,No,1610612763,1610612754
2024-12-02,22400318,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,LAL,West,Pacific,No,Yes,1610612750,1610612747
2024-12-02,22400315,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,NOP,West,Southwest,No,No,1610612737,1610612740
2024-12-02,22400316,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,MIA,East,Southeast,No,Yes,1610612738,1610612748
2024-12-02,22400317,8:00 pm ET,United Center,Chicago,CHI,East,Central,BKN,East,Atlantic,No,Yes,1610612741,1610612751
2024-12-03,22400057,9:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,SAS,West,Southwest,No,Yes,1610612756,1610612759
2024-12-03,22400059,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,HOU,West,Southwest,No,Yes,1610612758,1610612745
2024-12-03,22400058,10:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,GSW,West,Pacific,No,Yes,1610612743,1610612744
2024-12-03,22400056,8:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,MEM,West,Southwest,Yes,Yes,1610612742,1610612763
2024-12-03,22400060,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,POR,West,Northwest,No,Yes,1610612746,1610612757
2024-12-03,22400054,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,IND,East,Central,No,Yes,1610612761,1610612754
2024-12-03,22400053,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,ORL,East,Southeast,No,Yes,1610612752,1610612753
2024-12-03,22400052,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,MIL,East,Central,Yes,Yes,1610612765,1610612749
2024-12-03,22400051,7:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,WAS,East,Southeast,No,Yes,1610612739,1610612764
2024-12-03,22400050,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,PHI,East,Atlantic,No,Yes,1610612766,1610612755
2024-12-03,22400055,8:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,UTA,West,Northwest,Yes,Yes,1610612760,1610612762
2024-12-04,22400324,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,MIN,West,Northwest,No,Yes,1610612746,1610612750
2024-12-04,22400323,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,ATL,East,Southeast,No,Yes,1610612749,1610612737
2024-12-04,22400319,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,DET,East,Central,No,Yes,1610612738,1610612765
2024-12-04,22400321,7:30 pm ET,Kaseya Center,Miami,MIA,East,Southeast,LAL,West,Pacific,No,No,1610612748,1610612747
2024-12-04,22400322,7:30 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,ORL,East,Southeast,No,Yes,1610612755,1610612753
2024-12-04,22400320,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,IND,East,Central,No,Yes,1610612751,1610612754
2024-12-05,22400332,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,HOU,West,Southwest,No,Yes,1610612744,1610612745
2024-12-05,22400331,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,CHI,East,Central,No,No,1610612759,1610612741
2024-12-05,22400330,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,PHX,West,Pacific,No,Yes,1610612740,1610612756
2024-12-05,22400329,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,SAC,West,Pacific,No,Yes,1610612763,1610612758
2024-12-05,22400327,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,CHA,East,Southeast,No,Yes,1610612752,1610612766
2024-12-05,22400326,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,DAL,West,Southwest,No,No,1610612764,1610612742
2024-12-05,22400325,7:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,DEN,West,Northwest,No,No,1610612739,1610612743
2024-12-05,22400328,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,OKC,West,Northwest,No,No,1610612761,1610612760
2024-12-06,22400334,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,LAL,West,Pacific,No,No,1610612737,1610612747
2024-12-06,22400335,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,MIL,East,Central,No,Yes,1610612738,1610612749
2024-12-06,22400336,8:00 pm ET,United Center,Chicago,CHI,East,Central,IND,East,Central,Yes,Yes,1610612741,1610612754
2024-12-06,22400337,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,SAC,West,Pacific,No,Yes,1610612759,1610612758
2024-12-06,22400338,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,MIN,West,Northwest,No,Yes,1610612744,1610612750
2024-12-06,22400339,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,UTA,West,Northwest,Yes,Yes,1610612757,1610612762
2024-12-06,22400333,7:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,ORL,East,Southeast,No,Yes,1610612755,1610612753
2024-12-07,22400345,8:00 pm ET,TD Garden,Boston,BOS,East,Atlantic,MEM,West,Southwest,No,No,1610612738,1610612763
2024-12-07,22400346,8:00 pm ET,Kaseya Center,Miami,MIA,East,Southeast,PHX,West,Pacific,No,No,1610612748,1610612756
2024-12-07,22400343,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,DET,East,Central,No,Yes,1610612752,1610612765
2024-12-07,22400342,7:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,OKC,West,Northwest,No,Yes,1610612740,1610612760
2024-12-07,22400344,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,DAL,West,Southwest,No,No,1610612761,1610612742
2024-12-07,22400340,1:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,CLE,East,Central,No,Yes,1610612766,1610612739
2024-12-07,22400341,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,DEN,West,Northwest,No,No,1610612764,1610612743
2024-12-08,22400347,1:00 pm ET,United Center,Chicago,CHI,East,Central,PHI,East,Atlantic,No,Yes,1610612741,1610612755
2024-12-08,22400358,9:30 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,POR,West,Northwest,No,Yes,1610612747,1610612757
2024-12-08,22400357,9:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,UTA,West,Northwest,No,Yes,1610612758,1610612762
2024-12-08,22400356,9:00 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,HOU,West,Southwest,No,Yes,1610612746,1610612745
2024-12-08,22400355,8:30 pm ET,Chase Center,San Francisco,GSW,West,Pacific,MIN,West,Northwest,No,Yes,1610612744,1610612750
2024-12-08,22400348,3:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,MIL,East,Central,No,Yes,1610612751,1610612749
2024-12-08,22400353,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,MEM,West,Southwest,No,No,1610612764,1610612763
2024-12-08,22400352,6:30 pm ET,Kia Center,Orlando,ORL,East,Southeast,PHX,West,Pacific,No,No,1610612753,1610612756
2024-12-08,22400351,6:00 pm ET,Kaseya Center,Miami,MIA,East,Southeast,CLE,East,Central,No,Yes,1610612748,1610612739
2024-12-08,22400350,6:00 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,DEN,West,Northwest,No,No,1610612737,1610612743
2024-12-08,22400354,7:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,NOP,West,Southwest,Yes,Yes,1610612759,1610612740
2024-12-08,22400349,5:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,CHA,East,Southeast,No,Yes,1610612754,1610612766
2024-12-09,22400359,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,NYK,East,Atlantic,Yes,Yes,1610612761,1610612752
2024-12-19,22400371,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,DEN,West,Northwest,Yes,Yes,1610612757,1610612743
2024-12-19,22400370,9:30 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,ATL,East,Southeast,No,No,1610612759,1610612737
2024-12-19,22400369,9:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,IND,East,Central,No,No,1610612756,1610612754
2024-12-19,22400368,8:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,LAC,West,Pacific,No,Yes,1610612742,1610612746
2024-12-19,22400367,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,NYK,East,Atlantic,No,No,1610612750,1610612752
2024-12-19,22400372,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,LAL,West,Pacific,Yes,Yes,1610612758,1610612747
2024-12-19,22400365,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,NOP,West,Southwest,Yes,Yes,1610612745,1610612740
2024-12-19,22400364,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,BKN,East,Atlantic,Yes,Yes,1610612761,1610612751
2024-12-19,22400363,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,CHI,East,Central,No,Yes,1610612738,1610612741
2024-12-19,22400362,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,CHA,East,Southeast,Yes,Yes,1610612764,1610612766
2024-12-19,22400361,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,OKC,West,Northwest,No,No,1610612753,1610612760
2024-12-19,22400360,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,UTA,West,Northwest,No,No,1610612765,1610612762
2024-12-19,22400366,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,GSW,West,Pacific,No,Yes,1610612763,1610612744
2024-12-20,22400373,7:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,CHA,East,Southeast,No,Yes,1610612755,1610612766
2024-12-20,22400374,7:30 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,MIL,East,Central,Yes,Yes,1610612739,1610612749
2024-12-20,22400375,8:00 pm ET,Kaseya Center,Miami,MIA,East,Southeast,OKC,West,Northwest,No,No,1610612748,1610612760
2024-12-21,22400387,9:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,DET,East,Central,No,No,1610612756,1610612765
2024-12-21,22400386,8:30 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,POR,West,Northwest,No,Yes,1610612759,1610612757
2024-12-21,22400385,8:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,LAC,West,Pacific,No,Yes,1610612742,1610612746
2024-12-21,22400384,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,NYK,East,Atlantic,No,No,1610612740,1610612752
2024-12-21,22400383,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,GSW,West,Pacific,No,Yes,1610612750,1610612744
2024-12-21,22400382,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,WAS,East,Southeast,No,Yes,1610612749,1610612764
2024-12-21,22400380,8:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,PHI,East,Atlantic,No,Yes,1610612739,1610612755
2024-12-21,22400379,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,UTA,West,Northwest,No,No,1610612751,1610612762
2024-12-21,22400378,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,MEM,West,Southwest,No,No,1610612737,1610612763
2024-12-21,22400377,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,MIA,East,Southeast,Yes,Yes,1610612753,1610612748
2024-12-21,22400381,8:00 pm ET,United Center,Chicago,CHI,East,Central,BOS,East,Atlantic,No,Yes,1610612741,1610612738
2024-12-21,22400376,6:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,LAL,West,Pacific,Yes,Yes,1610612758,1610612747
2024-12-22,22400388,6:00 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,HOU,West,Southwest,No,No,1610612761,1610612745
